id,name,account,num_nodes,scheduled_nodes,run_time,submit_time,start_time,end_time,current_state,avg_cpu_usage,avg_gpu_usage,avg_ntx_usage,avg_nrx_usage,avg_node_power,max_node_power,energy
478177,28894b,809709951c4f2c756df8637f19411ac1,4,"[513, 621, 623, 625]",5330,31460142,31492207,31497538,JobState.COMPLETED,1.940894418025309,0.0,31234360699.0,31256934820.0,931.158132090679,931.1581320906797,19852291.376173276
478182,e7581d,809709951c4f2c756df8637f19411ac1,4,"[259, 588, 735, 736]",5241,31460144,31492630,31497872,JobState.COMPLETED,1.9447747153309936,0.0,29714665908.0,29738862292.0,931.9526229640317,931.9526229640214,19537454.78781796
478184,b87c00,809709951c4f2c756df8637f19411ac1,4,"[342, 344, 671, 786]",4863,31460145,31493203,31498067,JobState.COMPLETED,1.938664357091512,0.0,29983337244.0,30003957056.0,930.7015271144916,930.7015271144883,18104006.10543109
478600,faba24,897caa8b11d589fd39fb70b1fba13925,1,[400],24034,31470859,31474033,31498068,JobState.COMPLETED,1.0686421380344882,0.0,980832.0,29584552.0,752.564477762557,752.5644777625594,18087134.658545293
478660,40e639,897caa8b11d589fd39fb70b1fba13925,1,[480],24021,31473166,31474076,31498098,JobState.COMPLETED,1.0684854728350903,0.0,1481530.0,30149909.0,752.5324005629967,752.5324005629825,18076580.793923743
478181,77bc21,809709951c4f2c756df8637f19411ac1,4,"[291, 56, 57, 65]",6060,31460144,31492566,31498627,JobState.COMPLETED,1.9400991841675441,0.0,28736999550.0,28761938201.0,930.9953079582998,930.9953079583032,22567326.264909185
476256,2bac8b,958b339e4b084f90c02a7385ec2f6e96,6,"[224, 229, 230, 231, 53, 54]",42747,31389588,31455973,31498721,JobState.COMPLETED,0.13851929488483533,1.6581253698549177,144446250535.0,144700955173.0,935.2000338450312,935.2000338450106,239861975.0806413
476257,305a92,958b339e4b084f90c02a7385ec2f6e96,6,"[192, 193, 325, 328, 330, 338]",42747,31389604,31455973,31498721,JobState.COMPLETED,0.13294719753369255,1.5780262335932538,137249945985.0,137492039117.0,916.0368412534716,916.0368412534876,234946961.11837292
476258,8dbcc7,958b339e4b084f90c02a7385ec2f6e96,6,"[160, 345, 346, 347, 351, 357]",42747,31389621,31455973,31498721,JobState.COMPLETED,0.14202728958306016,1.7602933192625674,151742622950.0,152006798621.0,958.9060843762296,958.9060843762176,245942150.3329841
476405,e4bed2,958b339e4b084f90c02a7385ec2f6e96,6,"[204, 369, 371, 372, 373, 374]",42747,31393254,31455973,31498721,JobState.COMPLETED,0.1371318199540446,1.630092612087091,144506204191.0,144760087124.0,928.6085778552102,928.6085778551956,238171385.26546
476407,d78b4a,958b339e4b084f90c02a7385ec2f6e96,6,"[494, 495, 496, 506, 507, 509]",42747,31393271,31455973,31498721,JobState.COMPLETED,0.14190739584339432,1.8655242343192862,159280312388.0,159554889271.0,982.5584920207403,982.5584920207626,252008567.15046352
476425,3ccc6a,958b339e4b084f90c02a7385ec2f6e96,6,"[232, 672, 674, 675, 676, 678]",42747,31396904,31455973,31498721,JobState.COMPLETED,0.13546848760184724,1.649158641412187,143872945735.0,144124494140.0,932.5578671541994,932.5578671542083,239184306.88344336
479097,31a0ff,f65dd9682bdc99ab8e91105dbe9adfef,8,"[17, 18, 19, 20, 21, 22, 23, 24]",22,31499093,31499131,31499154,JobState.COMPLETED,0.0006949924048295455,0.0,244103.0,1601810.0,533.9022996948885,533.9022996948888,93966.80474630037
477073,e933a8,e9b2f4c6d93a3877ee4834ff35f79ecc,4,"[359, 376, 389, 642]",43214,31442525,31455973,31499188,JobState.COMPLETED,0.9990521081549991,0.0,9696822062.0,9721256600.0,738.315919144761,738.315919144743,127622336.5196868
477123,ac6176,34d3282df58688d81fc0606efb1cca78,1,[248],43214,31443608,31455974,31499189,JobState.COMPLETED,1.5961827849774997,0.9919589844855095,5609412.0,32292627.0,1083.7691967333697,1083.7691967333867,46834002.067635834
478948,fff924,809709951c4f2c756df8637f19411ac1,4,"[25, 26, 27, 28]",7221,31491998,31492000,31499222,JobState.COMPLETED,1.9748425130392517,0.0,57070534984.0,57089755840.0,938.1090045447925,938.1090045447875,27096340.487271786
478960,c55eb2,afdee2d177a78f8b8b2bce9f4cb2d3bf,16,"[1, 10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 5, 6, 7, 8, 9]",3624,31492283,31495632,31499257,JobState.COMPLETED,1.4002911033216279,0.0,4564377037.0,4442620039.0,820.4696034051013,820.4696034051044,47574109.4838414
479099,b741bc,f65dd9682bdc99ab8e91105dbe9adfef,1,[29],71,31499177,31499188,31499260,JobState.COMPLETED,0.12627124993802816,0.0,10869569.0,1669962533.0,559.6140384248115,559.6140384248113,39732.59672816162
479098,8ed241,f65dd9682bdc99ab8e91105dbe9adfef,8,"[17, 18, 19, 20, 21, 22, 23, 24]",108,31499131,31499154,31499263,JobState.COMPLETED,0.14386860801701393,0.0,1997016.0,1902617660.0,563.2170974914842,563.2170974914836,486619.5722326423
478729,a58f85,897caa8b11d589fd39fb70b1fba13925,1,[724],20273,31478995,31479044,31499318,JobState.COMPLETED,1.0683110499405974,0.0,914733.0,28492301.0,752.4966874753552,752.4966874753411,15255365.345187876
479100,b1e5bb,f65dd9682bdc99ab8e91105dbe9adfef,8,"[17, 18, 19, 20, 21, 22, 23, 24]",78,31499240,31499263,31499342,JobState.COMPLETED,0.12825406591482372,0.0,803465.0,437730139.0,560.0200199960601,560.0200199960601,349452.4924775415
477124,08dcc3,34d3282df58688d81fc0606efb1cca78,1,[283],43225,31443608,31456506,31499732,JobState.COMPLETED,0.0,0.8537976736713521,5409804.0,30868830.0,725.8644765760359,725.8644765760555,31375491.999999154
479103,2fb348,f65dd9682bdc99ab8e91105dbe9adfef,8,"[17, 18, 19, 20, 21, 22, 23, 24]",357,31499360,31499579,31499937,JobState.COMPLETED,0.17749798764978986,0.19131341425459067,13299713321.0,13666629745.0,613.1482311785797,613.1482311785774,1751151.3482460238
478187,8cafb1,809709951c4f2c756df8637f19411ac1,4,"[210, 212, 213, 380]",4196,31460147,31495933,31500130,JobState.COMPLETED,1.9304603588299334,0.0,29220253517.0,29246376676.0,929.0217584703977,929.0217584704301,15592701.194167154
478956,30bb58,e9e857657048067155e3eb0357a7fd8f,4,"[241, 284, 457, 723]",6405,31492166,31493857,31500263,JobState.COMPLETED,1.0890598343384728,0.0,45903659461.0,45928133025.0,756.7450010808587,756.7450010808025,19387806.9276916
477962,863f9f,46b2c28e55f65c1fcd41b55858b97a2c,5,"[235, 236, 237, 238, 62]",20495,31457878,31479861,31500357,JobState.COMPLETED,1.0968762034174169,0.0,18600679144.0,18628919573.0,758.3454026497587,758.3454026497118,77711445.13653402
478186,2d6b05,809709951c4f2c756df8637f19411ac1,4,"[343, 516, 673, 680]",6733,31460146,31493725,31500459,JobState.COMPLETED,1.9414119184491065,0.0,27850497695.0,27876407246.0,931.2640903024103,931.264090302454,25080804.480024513
478851,20d5a9,897caa8b11d589fd39fb70b1fba13925,2,"[240, 244]",10444,31490259,31490310,31500755,JobState.COMPLETED,1.0632139547755797,0.0,18216301386.0,18241081606.0,751.4530572402641,751.4530572403008,15696351.459634637
478915,a1764c,897caa8b11d589fd39fb70b1fba13925,2,"[639, 99]",8813,31491597,31492141,31500955,JobState.COMPLETED,1.0643062298808592,0.0,17103274196.0,17128892211.0,751.67670056813,751.6767005681074,13249053.524213858
