matrix,pattern,num_ranks,system,use_case,algorithm,latency,throughput,congestion,max_link_util,total_traffic_gb,strategy,communication_cost,cost_reduction,scheduler,makespan,energy_kwh,avg_power_kw,utilization,jobs_completed,scenario,compute_power_mw,total_power_mw,power_efficiency
all-to-all_n256,all-to-all,256,lassen,adaptive_routing,minimal,4.733771851851852,1.25,0.18344296296296295,10.1376,65.28,,,,,,,,,,,,,
all-to-all_n256,all-to-all,256,lassen,adaptive_routing,ecmp,4.733771851851852,1.25,0.18344296296296295,10.1376,65.28,,,,,,,,,,,,,
all-to-all_n256,all-to-all,256,lassen,node_placement,,,,,,,contiguous,130560000000.0,0.0,,,,,,,,,,
all-to-all_n256,all-to-all,256,lassen,node_placement,,,,,,,random,130560000000.0,0.0,,,,,,,,,,
all-to-all_n256,all-to-all,256,lassen,node_placement,,,,,,,locality,130560000000.0,0.0,,,,,,,,,,
all-to-all_n256,all-to-all,256,lassen,node_placement,,,,,,,spectral,130560000000.0,0.0,,,,,,,,,,
all-to-all_n256,all-to-all,256,lassen,scheduling,,,,,,,,,,fcfs,3000.0,2417.8559999999998,2901.4271999999996,70.0,30.0,,,,
all-to-all_n256,all-to-all,256,lassen,scheduling,,,,,,,,,,backfill,2640.0,1957.4962176,2669.3130239999996,78.0,30.0,,,,
all-to-all_n256,all-to-all,256,lassen,scheduling,,,,,,,,,,sjf,2550.0,1849.6598399999998,2611.28448,82.0,30.0,,,,
all-to-all_n256,all-to-all,256,lassen,power,,,,,,,,,,,,,,,,baseline,3.6136125,4.69769625,0.7842041015625
all-to-all_n256,all-to-all,256,lassen,power,,,,,,,,,,,,,,,,power_cap,3.6136125,4.69769625,0.7842041015625
all-to-all_n256,all-to-all,256,lassen,power,,,,,,,,,,,,,,,,frequency_scaling,3.389104125,4.4058353624999995,0.735482666015625
all-to-all_n256,all-to-all,256,lassen,power,,,,,,,,,,,,,,,,job_packing,3.4264623999999997,4.45440112,0.7435899305555554
all-to-all_n256,all-to-all,256,frontier,adaptive_routing,minimal,4.7628329411764705,14.39031129121385,0.3608094117647059,0.73728,65.28,,,,,,,,,,,,,
all-to-all_n256,all-to-all,256,frontier,adaptive_routing,ugal,5.436084705882353,14.39031129121385,0.35902117647058823,0.73728,65.28,,,,,,,,,,,,,
all-to-all_n256,all-to-all,256,frontier,adaptive_routing,valiant,6.81196862745098,14.350661278471712,0.36239372549019605,0.74208,65.28,,,,,,,,,,,,,
all-to-all_n256,all-to-all,256,frontier,node_placement,,,,,,,contiguous,114432000000.0,0.0,,,,,,,,,,
all-to-all_n256,all-to-all,256,frontier,node_placement,,,,,,,random,114432000000.0,0.0,,,,,,,,,,
all-to-all_n256,all-to-all,256,frontier,node_placement,,,,,,,locality,114432000000.0,0.0,,,,,,,,,,
all-to-all_n256,all-to-all,256,frontier,node_placement,,,,,,,spectral,114432000000.0,0.0,,,,,,,,,,
all-to-all_n256,all-to-all,256,frontier,scheduling,,,,,,,,,,fcfs,3000.0,8183.018666666665,9819.622399999998,70.0,30.0,,,,
all-to-all_n256,all-to-all,256,frontier,scheduling,,,,,,,,,,backfill,2640.0,6624.971912533332,9034.052607999998,78.0,30.0,,,,
all-to-all_n256,all-to-all,256,frontier,scheduling,,,,,,,,,,sjf,2550.0,6260.00928,8837.66016,82.0,30.0,,,,
all-to-all_n256,all-to-all,256,frontier,power,,,,,,,,,,,,,,,,baseline,12.574458,15.089349599999998,1.3275399070945946
all-to-all_n256,all-to-all,256,frontier,power,,,,,,,,,,,,,,,,power_cap,12.574458,15.089349599999998,1.3275399070945946
all-to-all_n256,all-to-all,256,frontier,power,,,,,,,,,,,,,,,,frequency_scaling,11.706498179999997,14.047797815999996,1.235905635557432
all-to-all_n256,all-to-all,256,frontier,power,,,,,,,,,,,,,,,,job_packing,12.086048,14.5032576,1.2759763513513513
stencil-3d_n256,stencil-3d,256,lassen,adaptive_routing,minimal,4.352987654320987,2.2863623061164766,0.08824691358024692,4.4672,33.28,,,,,,,,,,,,,
stencil-3d_n256,stencil-3d,256,lassen,adaptive_routing,ecmp,4.352987654320987,2.2863623061164766,0.08824691358024692,4.4672,33.28,,,,,,,,,,,,,
stencil-3d_n256,stencil-3d,256,lassen,node_placement,,,,,,,contiguous,66560000000.0,0.0,,,,,,,,,,
stencil-3d_n256,stencil-3d,256,lassen,node_placement,,,,,,,random,66560000000.0,0.0,,,,,,,,,,
stencil-3d_n256,stencil-3d,256,lassen,node_placement,,,,,,,locality,66560000000.0,0.0,,,,,,,,,,
stencil-3d_n256,stencil-3d,256,lassen,node_placement,,,,,,,spectral,66560000000.0,0.0,,,,,,,,,,
stencil-3d_n256,stencil-3d,256,lassen,scheduling,,,,,,,,,,fcfs,3000.0,2417.8559999999998,2901.4271999999996,70.0,30.0,,,,
stencil-3d_n256,stencil-3d,256,lassen,scheduling,,,,,,,,,,backfill,2640.0,1957.4962176,2669.3130239999996,78.0,30.0,,,,
stencil-3d_n256,stencil-3d,256,lassen,scheduling,,,,,,,,,,sjf,2550.0,1849.6598399999998,2611.28448,82.0,30.0,,,,
stencil-3d_n256,stencil-3d,256,lassen,power,,,,,,,,,,,,,,,,baseline,3.6136125,4.69769625,0.7842041015625
stencil-3d_n256,stencil-3d,256,lassen,power,,,,,,,,,,,,,,,,power_cap,3.6136125,4.69769625,0.7842041015625
stencil-3d_n256,stencil-3d,256,lassen,power,,,,,,,,,,,,,,,,frequency_scaling,3.389104125,4.4058353624999995,0.735482666015625
stencil-3d_n256,stencil-3d,256,lassen,power,,,,,,,,,,,,,,,,job_packing,3.4264623999999997,4.45440112,0.7435899305555554
stencil-3d_n256,stencil-3d,256,frontier,adaptive_routing,minimal,4.098211764705883,18.579072532699165,0.1709176470588235,0.3456,33.28,,,,,,,,,,,,,
stencil-3d_n256,stencil-3d,256,frontier,adaptive_routing,ugal,4.680909803921569,18.579072532699165,0.17022745098039216,0.3456,33.28,,,,,,,,,,,,,
stencil-3d_n256,stencil-3d,256,frontier,adaptive_routing,valiant,5.857921568627451,18.51303317535545,0.17158431372549018,0.3504,33.28,,,,,,,,,,,,,
stencil-3d_n256,stencil-3d,256,frontier,node_placement,,,,,,,contiguous,56320000000.0,0.0,,,,,,,,,,
stencil-3d_n256,stencil-3d,256,frontier,node_placement,,,,,,,random,58160000000.0,-0.032670454545454586,,,,,,,,,,
stencil-3d_n256,stencil-3d,256,frontier,node_placement,,,,,,,locality,44800000000.0,0.20454545454545459,,,,,,,,,,
stencil-3d_n256,stencil-3d,256,frontier,node_placement,,,,,,,spectral,44320000000.0,0.21306818181818177,,,,,,,,,,
stencil-3d_n256,stencil-3d,256,frontier,scheduling,,,,,,,,,,fcfs,3000.0,8183.018666666665,9819.622399999998,70.0,30.0,,,,
stencil-3d_n256,stencil-3d,256,frontier,scheduling,,,,,,,,,,backfill,2640.0,6624.971912533332,9034.052607999998,78.0,30.0,,,,
stencil-3d_n256,stencil-3d,256,frontier,scheduling,,,,,,,,,,sjf,2550.0,6260.00928,8837.66016,82.0,30.0,,,,
stencil-3d_n256,stencil-3d,256,frontier,power,,,,,,,,,,,,,,,,baseline,12.574458,15.089349599999998,1.3275399070945946
stencil-3d_n256,stencil-3d,256,frontier,power,,,,,,,,,,,,,,,,power_cap,12.574458,15.089349599999998,1.3275399070945946
stencil-3d_n256,stencil-3d,256,frontier,power,,,,,,,,,,,,,,,,frequency_scaling,11.706498179999997,14.047797815999996,1.235905635557432
stencil-3d_n256,stencil-3d,256,frontier,power,,,,,,,,,,,,,,,,job_packing,12.086048,14.5032576,1.2759763513513513
nearest-neighbor_n256,nearest-neighbor,256,lassen,adaptive_routing,minimal,4.024256790123457,12.18798751950078,0.006064197530864198,0.0256,5.12,,,,,,,,,,,,,
nearest-neighbor_n256,nearest-neighbor,256,lassen,adaptive_routing,ecmp,4.024256790123457,12.18798751950078,0.006064197530864198,0.0256,5.12,,,,,,,,,,,,,
nearest-neighbor_n256,nearest-neighbor,256,lassen,node_placement,,,,,,,contiguous,10240000000.0,0.0,,,,,,,,,,
nearest-neighbor_n256,nearest-neighbor,256,lassen,node_placement,,,,,,,random,10240000000.0,0.0,,,,,,,,,,
nearest-neighbor_n256,nearest-neighbor,256,lassen,node_placement,,,,,,,locality,10240000000.0,0.0,,,,,,,,,,
nearest-neighbor_n256,nearest-neighbor,256,lassen,node_placement,,,,,,,spectral,10240000000.0,0.0,,,,,,,,,,
nearest-neighbor_n256,nearest-neighbor,256,lassen,scheduling,,,,,,,,,,fcfs,3000.0,2417.8559999999998,2901.4271999999996,70.0,30.0,,,,
nearest-neighbor_n256,nearest-neighbor,256,lassen,scheduling,,,,,,,,,,backfill,2640.0,1957.4962176,2669.3130239999996,78.0,30.0,,,,
nearest-neighbor_n256,nearest-neighbor,256,lassen,scheduling,,,,,,,,,,sjf,2550.0,1849.6598399999998,2611.28448,82.0,30.0,,,,
nearest-neighbor_n256,nearest-neighbor,256,lassen,power,,,,,,,,,,,,,,,,baseline,3.6136125,4.69769625,0.7842041015625
nearest-neighbor_n256,nearest-neighbor,256,lassen,power,,,,,,,,,,,,,,,,power_cap,3.6136125,4.69769625,0.7842041015625
nearest-neighbor_n256,nearest-neighbor,256,lassen,power,,,,,,,,,,,,,,,,frequency_scaling,3.389104125,4.4058353624999995,0.735482666015625
nearest-neighbor_n256,nearest-neighbor,256,lassen,power,,,,,,,,,,,,,,,,job_packing,3.4264623999999997,4.45440112,0.7435899305555554
nearest-neighbor_n256,nearest-neighbor,256,frontier,adaptive_routing,minimal,3.564125490196078,24.075500770416024,0.018321568627450983,0.0384,5.12,,,,,,,,,,,,,
nearest-neighbor_n256,nearest-neighbor,256,frontier,adaptive_routing,ugal,4.073160784313726,24.075500770416024,0.018290196078431374,0.0384,5.12,,,,,,,,,,,,,
nearest-neighbor_n256,nearest-neighbor,256,frontier,adaptive_routing,valiant,5.091529411764705,24.075500770416024,0.01830588235294118,0.0384,5.12,,,,,,,,,,,,,
nearest-neighbor_n256,nearest-neighbor,256,frontier,node_placement,,,,,,,contiguous,5200000000.0,0.0,,,,,,,,,,
nearest-neighbor_n256,nearest-neighbor,256,frontier,node_placement,,,,,,,random,8800000000.0,-0.6923076923076923,,,,,,,,,,
nearest-neighbor_n256,nearest-neighbor,256,frontier,node_placement,,,,,,,locality,5200000000.0,0.0,,,,,,,,,,
nearest-neighbor_n256,nearest-neighbor,256,frontier,node_placement,,,,,,,spectral,5200000000.0,0.0,,,,,,,,,,
nearest-neighbor_n256,nearest-neighbor,256,frontier,scheduling,,,,,,,,,,fcfs,3000.0,8183.018666666665,9819.622399999998,70.0,30.0,,,,
nearest-neighbor_n256,nearest-neighbor,256,frontier,scheduling,,,,,,,,,,backfill,2640.0,6624.971912533332,9034.052607999998,78.0,30.0,,,,
nearest-neighbor_n256,nearest-neighbor,256,frontier,scheduling,,,,,,,,,,sjf,2550.0,6260.00928,8837.66016,82.0,30.0,,,,
nearest-neighbor_n256,nearest-neighbor,256,frontier,power,,,,,,,,,,,,,,,,baseline,12.574458,15.089349599999998,1.3275399070945946
nearest-neighbor_n256,nearest-neighbor,256,frontier,power,,,,,,,,,,,,,,,,power_cap,12.574458,15.089349599999998,1.3275399070945946
nearest-neighbor_n256,nearest-neighbor,256,frontier,power,,,,,,,,,,,,,,,,frequency_scaling,11.706498179999997,14.047797815999996,1.235905635557432
nearest-neighbor_n256,nearest-neighbor,256,frontier,power,,,,,,,,,,,,,,,,job_packing,12.086048,14.5032576,1.2759763513513513
ring_n256,ring,256,lassen,adaptive_routing,minimal,4.009702716049382,12.373297434273045,0.002425679012345679,0.01024,2.048,,,,,,,,,,,,,
ring_n256,ring,256,lassen,adaptive_routing,ecmp,4.009702716049382,12.373297434273045,0.002425679012345679,0.01024,2.048,,,,,,,,,,,,,
ring_n256,ring,256,lassen,node_placement,,,,,,,contiguous,4096000000.0,0.0,,,,,,,,,,
ring_n256,ring,256,lassen,node_placement,,,,,,,random,4096000000.0,0.0,,,,,,,,,,
ring_n256,ring,256,lassen,node_placement,,,,,,,locality,4096000000.0,0.0,,,,,,,,,,
ring_n256,ring,256,lassen,node_placement,,,,,,,spectral,4096000000.0,0.0,,,,,,,,,,
ring_n256,ring,256,lassen,scheduling,,,,,,,,,,fcfs,3000.0,2417.8559999999998,2901.4271999999996,70.0,30.0,,,,
ring_n256,ring,256,lassen,scheduling,,,,,,,,,,backfill,2640.0,1957.4962176,2669.3130239999996,78.0,30.0,,,,
ring_n256,ring,256,lassen,scheduling,,,,,,,,,,sjf,2550.0,1849.6598399999998,2611.28448,82.0,30.0,,,,
ring_n256,ring,256,lassen,power,,,,,,,,,,,,,,,,baseline,3.6136125,4.69769625,0.7842041015625
ring_n256,ring,256,lassen,power,,,,,,,,,,,,,,,,power_cap,3.6136125,4.69769625,0.7842041015625
ring_n256,ring,256,lassen,power,,,,,,,,,,,,,,,,frequency_scaling,3.389104125,4.4058353624999995,0.735482666015625
ring_n256,ring,256,lassen,power,,,,,,,,,,,,,,,,job_packing,3.4264623999999997,4.45440112,0.7435899305555554
ring_n256,ring,256,frontier,adaptive_routing,minimal,3.525650196078431,24.621809013551843,0.007328627450980393,0.01536,2.048,,,,,,,,,,,,,
ring_n256,ring,256,frontier,adaptive_routing,ugal,4.029214117647059,24.621809013551843,0.007303529411764706,0.01536,2.048,,,,,,,,,,,,,
ring_n256,ring,256,frontier,adaptive_routing,valiant,5.036517647058823,24.621809013551843,0.007303529411764706,0.01536,2.048,,,,,,,,,,,,,
ring_n256,ring,256,frontier,node_placement,,,,,,,contiguous,2080000000.0,0.0,,,,,,,,,,
ring_n256,ring,256,frontier,node_placement,,,,,,,random,3552000000.0,-0.7076923076923076,,,,,,,,,,
ring_n256,ring,256,frontier,node_placement,,,,,,,locality,2080000000.0,0.0,,,,,,,,,,
ring_n256,ring,256,frontier,node_placement,,,,,,,spectral,2080000000.0,0.0,,,,,,,,,,
ring_n256,ring,256,frontier,scheduling,,,,,,,,,,fcfs,3000.0,8183.018666666665,9819.622399999998,70.0,30.0,,,,
ring_n256,ring,256,frontier,scheduling,,,,,,,,,,backfill,2640.0,6624.971912533332,9034.052607999998,78.0,30.0,,,,
ring_n256,ring,256,frontier,scheduling,,,,,,,,,,sjf,2550.0,6260.00928,8837.66016,82.0,30.0,,,,
ring_n256,ring,256,frontier,power,,,,,,,,,,,,,,,,baseline,12.574458,15.089349599999998,1.3275399070945946
ring_n256,ring,256,frontier,power,,,,,,,,,,,,,,,,power_cap,12.574458,15.089349599999998,1.3275399070945946
ring_n256,ring,256,frontier,power,,,,,,,,,,,,,,,,frequency_scaling,11.706498179999997,14.047797815999996,1.235905635557432
ring_n256,ring,256,frontier,power,,,,,,,,,,,,,,,,job_packing,12.086048,14.5032576,1.2759763513513513
all-to-all_n512,all-to-all,512,lassen,adaptive_routing,minimal,5.88541387755102,1.25,0.47135346938775513,29.03936,261.632,,,,,,,,,,,,,
all-to-all_n512,all-to-all,512,lassen,adaptive_routing,ecmp,5.88541387755102,1.25,0.47135346938775513,29.03936,261.632,,,,,,,,,,,,,
all-to-all_n512,all-to-all,512,lassen,node_placement,,,,,,,contiguous,785408000000.0,0.0,,,,,,,,,,
all-to-all_n512,all-to-all,512,lassen,node_placement,,,,,,,random,785408000000.0,0.0,,,,,,,,,,
all-to-all_n512,all-to-all,512,lassen,node_placement,,,,,,,locality,785408000000.0,0.0,,,,,,,,,,
all-to-all_n512,all-to-all,512,lassen,node_placement,,,,,,,spectral,785408000000.0,0.0,,,,,,,,,,
all-to-all_n512,all-to-all,512,lassen,scheduling,,,,,,,,,,fcfs,3000.0,2417.8559999999998,2901.4271999999996,70.0,30.0,,,,
all-to-all_n512,all-to-all,512,lassen,scheduling,,,,,,,,,,backfill,2640.0,1957.4962176,2669.3130239999996,78.0,30.0,,,,
all-to-all_n512,all-to-all,512,lassen,scheduling,,,,,,,,,,sjf,2550.0,1849.6598399999998,2611.28448,82.0,30.0,,,,
all-to-all_n512,all-to-all,512,lassen,power,,,,,,,,,,,,,,,,baseline,3.6136125,4.69769625,0.7842041015625
all-to-all_n512,all-to-all,512,lassen,power,,,,,,,,,,,,,,,,power_cap,3.6136125,4.69769625,0.7842041015625
all-to-all_n512,all-to-all,512,lassen,power,,,,,,,,,,,,,,,,frequency_scaling,3.389104125,4.4058353624999995,0.735482666015625
all-to-all_n512,all-to-all,512,lassen,power,,,,,,,,,,,,,,,,job_packing,3.4264623999999997,4.45440112,0.7435899305555554
all-to-all_n512,all-to-all,512,frontier,adaptive_routing,minimal,5.8174981818181815,12.414587637057046,0.6621423376623377,1.01376,261.632,,,,,,,,,,,,,
all-to-all_n512,all-to-all,512,frontier,adaptive_routing,ugal,6.639282424242424,12.414587637057046,0.659820606060606,1.01376,261.632,,,,,,,,,,,,,
all-to-all_n512,all-to-all,512,frontier,adaptive_routing,valiant,8.332962770562771,12.074961360123647,0.6665925541125541,1.0704,261.632,,,,,,,,,,,,,
all-to-all_n512,all-to-all,512,frontier,node_placement,,,,,,,contiguous,605696000000.0,0.0,,,,,,,,,,
all-to-all_n512,all-to-all,512,frontier,node_placement,,,,,,,random,605696000000.0,0.0,,,,,,,,,,
all-to-all_n512,all-to-all,512,frontier,node_placement,,,,,,,locality,605696000000.0,0.0,,,,,,,,,,
all-to-all_n512,all-to-all,512,frontier,node_placement,,,,,,,spectral,605696000000.0,0.0,,,,,,,,,,
all-to-all_n512,all-to-all,512,frontier,scheduling,,,,,,,,,,fcfs,3000.0,8183.018666666665,9819.622399999998,70.0,30.0,,,,
all-to-all_n512,all-to-all,512,frontier,scheduling,,,,,,,,,,backfill,2640.0,6624.971912533332,9034.052607999998,78.0,30.0,,,,
all-to-all_n512,all-to-all,512,frontier,scheduling,,,,,,,,,,sjf,2550.0,6260.00928,8837.66016,82.0,30.0,,,,
all-to-all_n512,all-to-all,512,frontier,power,,,,,,,,,,,,,,,,baseline,12.574458,15.089349599999998,1.3275399070945946
all-to-all_n512,all-to-all,512,frontier,power,,,,,,,,,,,,,,,,power_cap,12.574458,15.089349599999998,1.3275399070945946
all-to-all_n512,all-to-all,512,frontier,power,,,,,,,,,,,,,,,,frequency_scaling,11.706498179999997,14.047797815999996,1.235905635557432
all-to-all_n512,all-to-all,512,frontier,power,,,,,,,,,,,,,,,,job_packing,12.086048,14.5032576,1.2759763513513513
stencil-3d_n512,stencil-3d,512,lassen,adaptive_routing,minimal,4.441942079689018,1.7914469158449897,0.1104855199222546,5.9776,66.56,,,,,,,,,,,,,
stencil-3d_n512,stencil-3d,512,lassen,adaptive_routing,ecmp,4.441942079689018,1.7914469158449897,0.1104855199222546,5.9776,66.56,,,,,,,,,,,,,
stencil-3d_n512,stencil-3d,512,lassen,node_placement,,,,,,,contiguous,156160000000.0,0.0,,,,,,,,,,
stencil-3d_n512,stencil-3d,512,lassen,node_placement,,,,,,,random,199360000000.0,-0.276639344262295,,,,,,,,,,
stencil-3d_n512,stencil-3d,512,lassen,node_placement,,,,,,,locality,161440000000.0,-0.03381147540983598,,,,,,,,,,
stencil-3d_n512,stencil-3d,512,lassen,node_placement,,,,,,,spectral,160480000000.0,-0.027663934426229497,,,,,,,,,,
stencil-3d_n512,stencil-3d,512,lassen,scheduling,,,,,,,,,,fcfs,3000.0,2417.8559999999998,2901.4271999999996,70.0,30.0,,,,
stencil-3d_n512,stencil-3d,512,lassen,scheduling,,,,,,,,,,backfill,2640.0,1957.4962176,2669.3130239999996,78.0,30.0,,,,
stencil-3d_n512,stencil-3d,512,lassen,scheduling,,,,,,,,,,sjf,2550.0,1849.6598399999998,2611.28448,82.0,30.0,,,,
stencil-3d_n512,stencil-3d,512,lassen,power,,,,,,,,,,,,,,,,baseline,3.6136125,4.69769625,0.7842041015625
stencil-3d_n512,stencil-3d,512,lassen,power,,,,,,,,,,,,,,,,power_cap,3.6136125,4.69769625,0.7842041015625
stencil-3d_n512,stencil-3d,512,lassen,power,,,,,,,,,,,,,,,,frequency_scaling,3.389104125,4.4058353624999995,0.735482666015625
stencil-3d_n512,stencil-3d,512,lassen,power,,,,,,,,,,,,,,,,job_packing,3.4264623999999997,4.45440112,0.7435899305555554
stencil-3d_n512,stencil-3d,512,frontier,adaptive_routing,minimal,4.090303030303031,18.10544611819235,0.16865800865800867,0.3808,66.56,,,,,,,,,,,,,
stencil-3d_n512,stencil-3d,512,frontier,adaptive_routing,ugal,4.672013852813853,18.04272517321016,0.16800346320346318,0.3856,66.56,,,,,,,,,,,,,
stencil-3d_n512,stencil-3d,512,frontier,adaptive_routing,valiant,5.847584415584416,18.00115207373272,0.16951688311688312,0.3888,66.56,,,,,,,,,,,,,
stencil-3d_n512,stencil-3d,512,frontier,node_placement,,,,,,,contiguous,101120000000.0,0.0,,,,,,,,,,
stencil-3d_n512,stencil-3d,512,frontier,node_placement,,,,,,,random,153600000000.0,-0.518987341772152,,,,,,,,,,
stencil-3d_n512,stencil-3d,512,frontier,node_placement,,,,,,,locality,109780000000.0,-0.08564082278481022,,,,,,,,,,
stencil-3d_n512,stencil-3d,512,frontier,node_placement,,,,,,,spectral,114200000000.0,-0.1293512658227849,,,,,,,,,,
stencil-3d_n512,stencil-3d,512,frontier,scheduling,,,,,,,,,,fcfs,3000.0,8183.018666666665,9819.622399999998,70.0,30.0,,,,
stencil-3d_n512,stencil-3d,512,frontier,scheduling,,,,,,,,,,backfill,2640.0,6624.971912533332,9034.052607999998,78.0,30.0,,,,
stencil-3d_n512,stencil-3d,512,frontier,scheduling,,,,,,,,,,sjf,2550.0,6260.00928,8837.66016,82.0,30.0,,,,
stencil-3d_n512,stencil-3d,512,frontier,power,,,,,,,,,,,,,,,,baseline,12.574458,15.089349599999998,1.3275399070945946
stencil-3d_n512,stencil-3d,512,frontier,power,,,,,,,,,,,,,,,,power_cap,12.574458,15.089349599999998,1.3275399070945946
stencil-3d_n512,stencil-3d,512,frontier,power,,,,,,,,,,,,,,,,frequency_scaling,11.706498179999997,14.047797815999996,1.235905635557432
stencil-3d_n512,stencil-3d,512,frontier,power,,,,,,,,,,,,,,,,job_packing,12.086048,14.5032576,1.2759763513513513
